ABBR,Sentence_A,Sentence_B,Sentence_C,target,Primary_Expression,Alternative_Expression
SMA,"spinal muscular atrophy is a common autosomal recessive disorder, caused by homozygous deletion of the survival motor neuron gene 1 (SMN1).","SMA is a common autosomal recessive disorder, caused by homozygous deletion of the survival motor neuron gene 1 (SMN1).","superior mesenteric artery is a common autosomal recessive disorder, caused by homozygous deletion of the survival motor neuron gene 1 (SMN1).",is,spinal muscular atrophy,superior mesenteric artery
SMA,BACKGROUND: spinal muscular atrophy is an autosomal recessive disease characterized by degeneration of anterior horn cells of the spinal cord.,BACKGROUND: SMA is an autosomal recessive disease characterized by degeneration of anterior horn cells of the spinal cord.,BACKGROUND: superior mesenteric artery is an autosomal recessive disease characterized by degeneration of anterior horn cells of the spinal cord.,is,spinal muscular atrophy,superior mesenteric artery
SMA,The hereditary neurodegenerative disease spinal muscular atrophy with childhood onset is one of the most common genetic causes of infant mortality.,The hereditary neurodegenerative disease SMA with childhood onset is one of the most common genetic causes of infant mortality.,The hereditary neurodegenerative disease superior mesenteric artery with childhood onset is one of the most common genetic causes of infant mortality.,with,spinal muscular atrophy,superior mesenteric artery
SMA,"Ventilatory insufficiency is virtually inevitable in Duchenne muscular dystrophy and type 1 spinal muscular atrophy, but more variable in limb-girdle, congenital, and facioscapulohumeral muscular dystrophy.","Ventilatory insufficiency is virtually inevitable in Duchenne muscular dystrophy and type 1 SMA, but more variable in limb-girdle, congenital, and facioscapulohumeral muscular dystrophy.","Ventilatory insufficiency is virtually inevitable in Duchenne muscular dystrophy and type 1 superior mesenteric artery, but more variable in limb-girdle, congenital, and facioscapulohumeral muscular dystrophy.",but,spinal muscular atrophy,superior mesenteric artery
SMA,BACKGROUND: spinal muscular atrophy represents the second most common fatal autosomal recessive disorder after cystic fibrosis.,BACKGROUND: SMA represents the second most common fatal autosomal recessive disorder after cystic fibrosis.,BACKGROUND: superior mesenteric artery represents the second most common fatal autosomal recessive disorder after cystic fibrosis.,represents,spinal muscular atrophy,superior mesenteric artery
STD,"Sexual activity, sexually transmitted disease prevention, birth control measures, drug use and any consequences discussed or depicted were recorded.","Sexual activity, STD prevention, birth control measures, drug use and any consequences discussed or depicted were recorded.","Sexual activity, Saturation transfer difference prevention, birth control measures, drug use and any consequences discussed or depicted were recorded.",prevention,sexually transmitted disease,Saturation transfer difference
STD,The cost-effectiveness of interventions designed to encourage public sexually transmitted disease clinic patients to return for rescreening has not been well-evaluated.,The cost-effectiveness of interventions designed to encourage public STD clinic patients to return for rescreening has not been well-evaluated.,The cost-effectiveness of interventions designed to encourage public Saturation transfer difference clinic patients to return for rescreening has not been well-evaluated.,clinic,sexually transmitted disease,Saturation transfer difference
STD,"The study found that maternal gestational age (p = 0.04), S. mutans level (p = 0.02), caries score (p = 0.02), sexually transmitted disease infection experience (p = 0.01), and family income (p = 0.03) had significant effects on the acquisition of S. mutans.","The study found that maternal gestational age (p = 0.04), S. mutans level (p = 0.02), caries score (p = 0.02), STD infection experience (p = 0.01), and family income (p = 0.03) had significant effects on the acquisition of S. mutans.","The study found that maternal gestational age (p = 0.04), S. mutans level (p = 0.02), caries score (p = 0.02), Saturation transfer difference infection experience (p = 0.01), and family income (p = 0.03) had significant effects on the acquisition of S. mutans.",infection,sexually transmitted disease,Saturation transfer difference
STD,Women seeking sexually transmitted disease services are at high risk of human papillomavirus infections.,Women seeking STD services are at high risk of human papillomavirus infections.,Women seeking Saturation transfer difference services are at high risk of human papillomavirus infections.,services,sexually transmitted disease,Saturation transfer difference
STD,We conducted a literature search to review studies that presented quantitative data on sexually transmitted disease screening in non-traditional settings in the United States.,We conducted a literature search to review studies that presented quantitative data on STD screening in non-traditional settings in the United States.,We conducted a literature search to review studies that presented quantitative data on Saturation transfer difference screening in non-traditional settings in the United States.,screening,sexually transmitted disease,Saturation transfer difference
TBI,The purpose of this study was to characterize the effects of secondary ischemia following Traumatic brain injury on the ability to restore ion homeostasis.,The purpose of this study was to characterize the effects of secondary ischemia following TBI on the ability to restore ion homeostasis.,The purpose of this study was to characterize the effects of secondary ischemia following total body irradiation on the ability to restore ion homeostasis.,on,Traumatic brain injury,total body irradiation
TBI,OBJECT: Atorvastatin administered after Traumatic brain injury induced by controlled cortical impact promotes functional improvement in male rats.,OBJECT: Atorvastatin administered after TBI induced by controlled cortical impact promotes functional improvement in male rats.,OBJECT: Atorvastatin administered after total body irradiation induced by controlled cortical impact promotes functional improvement in male rats.,induced,Traumatic brain injury,total body irradiation
TBI,"Therefore the authors measured the main parameters of cerebral acid-base homeostasis, as well as their interrelations, shortly after severe Traumatic brain injury in humans.","Therefore the authors measured the main parameters of cerebral acid-base homeostasis, as well as their interrelations, shortly after severe TBI in humans.","Therefore the authors measured the main parameters of cerebral acid-base homeostasis, as well as their interrelations, shortly after severe total body irradiation in humans.",in,Traumatic brain injury,total body irradiation
TBI,To test this hypothesis we studied ICP spikes in pediatric subjects with severe Traumatic brain injury and.,To test this hypothesis we studied ICP spikes in pediatric subjects with severe TBI and.,To test this hypothesis we studied ICP spikes in pediatric subjects with severe total body irradiation and.,and,Traumatic brain injury,total body irradiation
TBI,"However, the actions of exogenous ubiquitin after Traumatic brain injury are unknown.","However, the actions of exogenous ubiquitin after TBI are unknown.","However, the actions of exogenous ubiquitin after total body irradiation are unknown.",are,Traumatic brain injury,total body irradiation
