ABBR,Sentence_A,Sentence_B,Sentence_C,Sentence_A_Prime,Sentence_B_Prime,Sentence_C_Prime
CML,One hundred and ten patients with Philadelphia chromosome (Ph)-positive chronic phase chronic myelogenous leukemia post-interferon-a failure treated with imatinib mesylate therapy were analyzed for the prognostic significance of marrow reticulin stain-measured fibrosis.,One hundred and ten patients with Philadelphia chromosome (Ph)-positive chronic phase CML post-interferon-a failure treated with imatinib mesylate therapy were analyzed for the prognostic significance of marrow reticulin stain-measured fibrosis.,One hundred and ten patients with Philadelphia chromosome (Ph)-positive chronic phase cell-mediated lympholysis post-interferon-a failure treated with imatinib mesylate therapy were analyzed for the prognostic significance of marrow reticulin stain-measured fibrosis.,"Allograft survival in these recipients was prolonged to 138, 428, and 509 days, and in vitro mixed leukocyte reaction and cell-mediated lympholysis assays demonstrated donor-specific hyporesponsiveness.","Allograft survival in these recipients was prolonged to 138, 428, and 509 days, and in vitro mixed leukocyte reaction and CML assays demonstrated donor-specific hyporesponsiveness.","Allograft survival in these recipients was prolonged to 138, 428, and 509 days, and in vitro mixed leukocyte reaction and chronic myelogenous leukemia assays demonstrated donor-specific hyporesponsiveness."
CML,"Imatinib mesylate, a signal transduction inhibitor molecule, has been introduced in the treatment of chronic myelogenous leukemia since May 2001.","Imatinib mesylate, a signal transduction inhibitor molecule, has been introduced in the treatment of CML since May 2001.","Imatinib mesylate, a signal transduction inhibitor molecule, has been introduced in the treatment of cell-mediated lympholysis since May 2001.","BACKGROUND: To estimate the impact of RBC preparations on the status of postoperative immune activation, the soluble cytokine receptors of TNFalpha (sTNF-R) and IL-2 (sIL-2R), as well as neopterin and cell-mediated lympholysis, were measured.","BACKGROUND: To estimate the impact of RBC preparations on the status of postoperative immune activation, the soluble cytokine receptors of TNFalpha (sTNF-R) and IL-2 (sIL-2R), as well as neopterin and CML, were measured.","BACKGROUND: To estimate the impact of RBC preparations on the status of postoperative immune activation, the soluble cytokine receptors of TNFalpha (sTNF-R) and IL-2 (sIL-2R), as well as neopterin and chronic myelogenous leukemia, were measured."
CML,"Our results can explain the absence of clonal myeloproliferative disorders in mice (lifetime, 2 years), are consistent with clinical observations in cats, and provide insight into the progression of chronic myelogenous leukemia in humans.","Our results can explain the absence of clonal myeloproliferative disorders in mice (lifetime, 2 years), are consistent with clinical observations in cats, and provide insight into the progression of CML in humans.","Our results can explain the absence of clonal myeloproliferative disorders in mice (lifetime, 2 years), are consistent with clinical observations in cats, and provide insight into the progression of cell-mediated lympholysis in humans.","RESULTS: Control animals had a stable plasma creatinine, had donor-specific unresponsiveness in cell-mediated lympholysis assays, had absence of rejection in kidney biopsy specimens, and did not develop anti-donor class I immunoglobulin (Ig)G alloantibodies.","RESULTS: Control animals had a stable plasma creatinine, had donor-specific unresponsiveness in CML assays, had absence of rejection in kidney biopsy specimens, and did not develop anti-donor class I immunoglobulin (Ig)G alloantibodies.","RESULTS: Control animals had a stable plasma creatinine, had donor-specific unresponsiveness in chronic myelogenous leukemia assays, had absence of rejection in kidney biopsy specimens, and did not develop anti-donor class I immunoglobulin (Ig)G alloantibodies."
CMS,"Furthermore, we reported the presence of a pollen fertility-restoring gene (Rf) for cytoplasmic male sterility in A. fistulosum from segregation of pollen fertility of backcross progenies.","Furthermore, we reported the presence of a pollen fertility-restoring gene (Rf) for CMS in A. fistulosum from segregation of pollen fertility of backcross progenies.","Furthermore, we reported the presence of a pollen fertility-restoring gene (Rf) for chronic mild stress in A. fistulosum from segregation of pollen fertility of backcross progenies.",chronic mild stress revisited: consistency and behavioural-neurobiological concordance in the effects of CMS .,CMS revisited: consistency and behavioural-neurobiological concordance in the effects of CMS .,cytoplasmic male sterility revisited: consistency and behavioural-neurobiological concordance in the effects of CMS .
CMS,"cytoplasmic male sterility is a mitochondrially encoded trait, which is characterized by a failure of plants to produce viable pollen.","CMS is a mitochondrially encoded trait, which is characterized by a failure of plants to produce viable pollen.","chronic mild stress is a mitochondrially encoded trait, which is characterized by a failure of plants to produce viable pollen.",The chronic mild stress model of depression has high validity but has in the past been criticized for being difficult to replicate.,The CMS model of depression has high validity but has in the past been criticized for being difficult to replicate.,The cytoplasmic male sterility model of depression has high validity but has in the past been criticized for being difficult to replicate.
CMS,cytoplasmic male sterility is a maternally inherited defect in pollen production specified by novel mitochondrial genes.,CMS is a maternally inherited defect in pollen production specified by novel mitochondrial genes.,chronic mild stress is a maternally inherited defect in pollen production specified by novel mitochondrial genes.,In this work we studied the effect of chronic mild stress exposure on the early intracellular pathways involved in T cells after stimulation with mitogen.,In this work we studied the effect of CMS exposure on the early intracellular pathways involved in T cells after stimulation with mitogen.,In this work we studied the effect of cytoplasmic male sterility exposure on the early intracellular pathways involved in T cells after stimulation with mitogen.
CMS,"The objective of this research was to develop STS markers tightly linked with Rf1, the fertility restoring gene for cytoplasmic male sterility in cotton (Gossypium hirsutum L.).","The objective of this research was to develop STS markers tightly linked with Rf1, the fertility restoring gene for CMS in cotton (Gossypium hirsutum L.).","The objective of this research was to develop STS markers tightly linked with Rf1, the fertility restoring gene for chronic mild stress in cotton (Gossypium hirsutum L.).",chronic mild stress has been reported to induce an anhedonic-like state in rats that resembles some of the symptoms of endogenous depression in humans.,CMS has been reported to induce an anhedonic-like state in rats that resembles some of the symptoms of endogenous depression in humans.,cytoplasmic male sterility has been reported to induce an anhedonic-like state in rats that resembles some of the symptoms of endogenous depression in humans.
CMS,"In Brassica species, alloplasmic lines displaying cytoplasmic male sterility are established by combining the nucleus from B. rapa with the cytoplasm from Diplotaxis muralis.","In Brassica species, alloplasmic lines displaying CMS are established by combining the nucleus from B. rapa with the cytoplasm from Diplotaxis muralis.","In Brassica species, alloplasmic lines displaying chronic mild stress are established by combining the nucleus from B. rapa with the cytoplasm from Diplotaxis muralis.","In the present study we examined the hypothesis that exposure to chronic mild stress, an experimental model of depression that induces anhedonia in rats, is sufficient to activate the production of proinflammatory cytokines and stress hormones that are detrimental to the heart and vascular system.","In the present study we examined the hypothesis that exposure to CMS, an experimental model of depression that induces anhedonia in rats, is sufficient to activate the production of proinflammatory cytokines and stress hormones that are detrimental to the heart and vascular system.","In the present study we examined the hypothesis that exposure to cytoplasmic male sterility, an experimental model of depression that induces anhedonia in rats, is sufficient to activate the production of proinflammatory cytokines and stress hormones that are detrimental to the heart and vascular system."
CMV,"Following addition of indinavir to the therapy regimen, no semen samples from 21 men with controlled peripheral and seminal viral loads were 2-LTR cDNA positive at 1 and 6 month time points, despite the persistence of HIV-1 proviral DNA+ semen cells and seminal cytomegalovirus shedding in some cases.","Following addition of indinavir to the therapy regimen, no semen samples from 21 men with controlled peripheral and seminal viral loads were 2-LTR cDNA positive at 1 and 6 month time points, despite the persistence of HIV-1 proviral DNA+ semen cells and seminal CMV shedding in some cases.","Following addition of indinavir to the therapy regimen, no semen samples from 21 men with controlled peripheral and seminal viral loads were 2-LTR cDNA positive at 1 and 6 month time points, despite the persistence of HIV-1 proviral DNA+ semen cells and seminal cucumber mosaic virus shedding in some cases.",Subsequent serological analysis allowed the identification of the pathogen as a subgroup I strain of cucumber mosaic virus.,Subsequent serological analysis allowed the identification of the pathogen as a subgroup I strain of CMV.,Subsequent serological analysis allowed the identification of the pathogen as a subgroup I strain of cytomegalovirus.
CMV,cytomegalovirus is the most common cause of congenital infection in humans.,CMV is the most common cause of congenital infection in humans.,cucumber mosaic virus is the most common cause of congenital infection in humans.,Five isolates of cucumber mosaic virus from Lilium sp.,Five isolates of CMV from Lilium sp.,Five isolates of cytomegalovirus from Lilium sp.
CMV,"BACKGROUND: Currently, there is no effective intervention for a primary cytomegalovirus infection during pregnancy.","BACKGROUND: Currently, there is no effective intervention for a primary CMV infection during pregnancy.","BACKGROUND: Currently, there is no effective intervention for a primary cucumber mosaic virus infection during pregnancy.","We evaluated the immunological properties of a chimeric cucumber mosaic virus, a plant virus engineered to express on its surface a synthetic peptide derived from many HVR1 sequences of the HCV envelope protein E2 (R9 mimotope).","We evaluated the immunological properties of a chimeric CMV, a plant virus engineered to express on its surface a synthetic peptide derived from many HVR1 sequences of the HCV envelope protein E2 (R9 mimotope).","We evaluated the immunological properties of a chimeric cytomegalovirus, a plant virus engineered to express on its surface a synthetic peptide derived from many HVR1 sequences of the HCV envelope protein E2 (R9 mimotope)."
CMV,The safety of discontinuation of maintenance therapy for cytomegalovirus retinitis and incidence of immune recovery uveitis following potent antiretroviral therapy.,The safety of discontinuation of maintenance therapy for CMV retinitis and incidence of immune recovery uveitis following potent antiretroviral therapy.,The safety of discontinuation of maintenance therapy for cucumber mosaic virus retinitis and incidence of immune recovery uveitis following potent antiretroviral therapy.,cucumber mosaic virus A strain ( CMV -A) isolated from Amaranthus tricolor was partially characterized at molecular level.,CMV A strain ( CMV -A) isolated from Amaranthus tricolor was partially characterized at molecular level.,cytomegalovirus A strain ( CMV -A) isolated from Amaranthus tricolor was partially characterized at molecular level.
CMV,"The cytomegalovirus maturational protease, assemblin, contains an'internal'(I) cleavage site absent from its homologs in other herpesviruses.","The CMV maturational protease, assemblin, contains an'internal'(I) cleavage site absent from its homologs in other herpesviruses.","The cucumber mosaic virus maturational protease, assemblin, contains an'internal'(I) cleavage site absent from its homologs in other herpesviruses.",The physical stability of virions of cucumber mosaic virus mutants was investigated to determine if relative stability correlated with efficiency of aphid transmission.,The physical stability of virions of CMV mutants was investigated to determine if relative stability correlated with efficiency of aphid transmission.,The physical stability of virions of cytomegalovirus mutants was investigated to determine if relative stability correlated with efficiency of aphid transmission.
CNS,"In this study, the question of postural and focal components integration by the central nervous system is investigated through whole body reaching task performance in microgravity.","In this study, the question of postural and focal components integration by the CNS is investigated through whole body reaching task performance in microgravity.","In this study, the question of postural and focal components integration by the coagulase-negative staphylococci is investigated through whole body reaching task performance in microgravity.",The collection of 314 staphylococcal strains including Staphylococcus aureus and coagulase-negative staphylococci was isolated from skin or nasopharynx of healthy people.,The collection of 314 staphylococcal strains including Staphylococcus aureus and CNS was isolated from skin or nasopharynx of healthy people.,The collection of 314 staphylococcal strains including Staphylococcus aureus and central nervous system was isolated from skin or nasopharynx of healthy people.
CNS,"While adaptive immunity plays an important role in preventing WNV spread to the central nervous system, little is known about how alpha/beta interferon (IFN-alpha/beta) protects against peripheral and CNS infection.","While adaptive immunity plays an important role in preventing WNV spread to the CNS, little is known about how alpha/beta interferon (IFN-alpha/beta) protects against peripheral and CNS infection.","While adaptive immunity plays an important role in preventing WNV spread to the coagulase-negative staphylococci, little is known about how alpha/beta interferon (IFN-alpha/beta) protects against peripheral and CNS infection.","The most-prevalent mastitis agents were coagulase-negative staphylococci, 80% (n = 1474 udder-half samples); within this group, Staphylococcus epidermidis was the most-prevalent species (38%).","The most-prevalent mastitis agents were CNS, 80% (n = 1474 udder-half samples); within this group, Staphylococcus epidermidis was the most-prevalent species (38%).","The most-prevalent mastitis agents were central nervous system, 80% (n = 1474 udder-half samples); within this group, Staphylococcus epidermidis was the most-prevalent species (38%)."
CNS,"The spectrum of post-streptococcal disease of the central nervous system has been widened recently and includes movement disorders (chorea, tics, dystonia, and Parkinsonism), psychiatric disorders (particularly emotional disorders), and associated sleep disorders.","The spectrum of post-streptococcal disease of the CNS has been widened recently and includes movement disorders (chorea, tics, dystonia, and Parkinsonism), psychiatric disorders (particularly emotional disorders), and associated sleep disorders.","The spectrum of post-streptococcal disease of the coagulase-negative staphylococci has been widened recently and includes movement disorders (chorea, tics, dystonia, and Parkinsonism), psychiatric disorders (particularly emotional disorders), and associated sleep disorders.",This study aimed to determine the levels of the macrolides-lincosamides-streptogramins B (MLS(B)) resistance phenotype of Staphylococcus aureus and coagulase-negative staphylococci isolates from clinical samples.,This study aimed to determine the levels of the macrolides-lincosamides-streptogramins B (MLS(B)) resistance phenotype of Staphylococcus aureus and CNS isolates from clinical samples.,This study aimed to determine the levels of the macrolides-lincosamides-streptogramins B (MLS(B)) resistance phenotype of Staphylococcus aureus and central nervous system isolates from clinical samples.
CNS,The presence and function of CB2 receptors in central nervous system neurons are controversial.,The presence and function of CB2 receptors in CNS neurons are controversial.,The presence and function of CB2 receptors in coagulase-negative staphylococci neurons are controversial.,Most of the infections (80.7%) observed were due to coagulase-negative staphylococci species.,Most of the infections (80.7%) observed were due to CNS species.,Most of the infections (80.7%) observed were due to central nervous system species.
CNS,Clinical Relevance central nervous system diseases may cause long-term disabilities.,Clinical Relevance CNS diseases may cause long-term disabilities.,Clinical Relevance coagulase-negative staphylococci diseases may cause long-term disabilities.,"RESULTS: Among the 162 bacteria isolated, 124 (76%) were coagulase-negative staphylococci, with 2% resistant to gatifloxacin and moxifloxacin, and none were resistant to vancomycin or minocycline.","RESULTS: Among the 162 bacteria isolated, 124 (76%) were CNS, with 2% resistant to gatifloxacin and moxifloxacin, and none were resistant to vancomycin or minocycline.","RESULTS: Among the 162 bacteria isolated, 124 (76%) were central nervous system, with 2% resistant to gatifloxacin and moxifloxacin, and none were resistant to vancomycin or minocycline."
CPR,"cardiopulmonary resuscitation, including chest compressions and mechanical ventilation, was begun after 8 minutes of untreated cardiac arrest.","CPR, including chest compressions and mechanical ventilation, was begun after 8 minutes of untreated cardiac arrest.","C-peptide immunoreactivity, including chest compressions and mechanical ventilation, was begun after 8 minutes of untreated cardiac arrest.",We investigated the relationship between serum levels of C-peptide immunoreactivity and diabetic complications in 256 patients with type-2 diabetes mellitus.,We investigated the relationship between serum levels of CPR and diabetic complications in 256 patients with type-2 diabetes mellitus.,We investigated the relationship between serum levels of cardiopulmonary resuscitation and diabetic complications in 256 patients with type-2 diabetes mellitus.
CPR,This was followed by a practical test consisting of two first aid and basic life support scenarios including cardiopulmonary resuscitation.,This was followed by a practical test consisting of two first aid and basic life support scenarios including CPR.,This was followed by a practical test consisting of two first aid and basic life support scenarios including C-peptide immunoreactivity.,"C-peptide immunoreactivity response during glucagon test (intravenous injection of 1 mg glucagon) was compared with CPR response during 75 g oral glucose tolerance test (oGTT) in 58 patients with newly-diagnosed, untreated type 2 (non-insulin-dependent) diabetes mellitus.","CPR response during glucagon test (intravenous injection of 1 mg glucagon) was compared with CPR response during 75 g oral glucose tolerance test (oGTT) in 58 patients with newly-diagnosed, untreated type 2 (non-insulin-dependent) diabetes mellitus.","cardiopulmonary resuscitation response during glucagon test (intravenous injection of 1 mg glucagon) was compared with CPR response during 75 g oral glucose tolerance test (oGTT) in 58 patients with newly-diagnosed, untreated type 2 (non-insulin-dependent) diabetes mellitus."
CPR,"Non-compliance with standard procedures occurred during AED use in 162 patients, including interference of movement by cardiopulmonary resuscitation in progress in 69, untimely machine turn-off in 49, leads fell off or disconnected in 33, failure of shock delivery after charge in 28, and interference of movement other than CPR in 22.","Non-compliance with standard procedures occurred during AED use in 162 patients, including interference of movement by CPR in progress in 69, untimely machine turn-off in 49, leads fell off or disconnected in 33, failure of shock delivery after charge in 28, and interference of movement other than CPR in 22.","Non-compliance with standard procedures occurred during AED use in 162 patients, including interference of movement by C-peptide immunoreactivity in progress in 69, untimely machine turn-off in 49, leads fell off or disconnected in 33, failure of shock delivery after charge in 28, and interference of movement other than CPR in 22.",Residual beta-cell function was assessed by serum C-peptide immunoreactivity response to a 100-g oral glucose load (delta CPR ).,Residual beta-cell function was assessed by serum CPR response to a 100-g oral glucose load (delta CPR ).,Residual beta-cell function was assessed by serum cardiopulmonary resuscitation response to a 100-g oral glucose load (delta CPR ).
CPR,"cardiopulmonary resuscitation is performed frequently by paramedics, emergency department personnel, and inpatient physicians.","CPR is performed frequently by paramedics, emergency department personnel, and inpatient physicians.","C-peptide immunoreactivity is performed frequently by paramedics, emergency department personnel, and inpatient physicians.",There was no correlation between serum trypsin and residual beta cell function measured by plasma C-peptide immunoreactivity.,There was no correlation between serum trypsin and residual beta cell function measured by plasma CPR.,There was no correlation between serum trypsin and residual beta cell function measured by plasma cardiopulmonary resuscitation.
CPR,STUDY OBJECTIVE: Maximizing cardiopulmonary resuscitation during resuscitation may improve survival.,STUDY OBJECTIVE: Maximizing CPR during resuscitation may improve survival.,STUDY OBJECTIVE: Maximizing C-peptide immunoreactivity during resuscitation may improve survival.,"To investigate the physiological role of glucagon in the maintenance of euglycemia, the effect of the neutralization of glucagon by an antiserum specific for glucagon on blood glucose and C-peptide immunoreactivity levels was studied in the basal as well as in the hyperglucagonemic states caused by hypoglycemia or an intravenous infusion of arginine in rats.","To investigate the physiological role of glucagon in the maintenance of euglycemia, the effect of the neutralization of glucagon by an antiserum specific for glucagon on blood glucose and CPR levels was studied in the basal as well as in the hyperglucagonemic states caused by hypoglycemia or an intravenous infusion of arginine in rats.","To investigate the physiological role of glucagon in the maintenance of euglycemia, the effect of the neutralization of glucagon by an antiserum specific for glucagon on blood glucose and cardiopulmonary resuscitation levels was studied in the basal as well as in the hyperglucagonemic states caused by hypoglycemia or an intravenous infusion of arginine in rats."
CRP,The C-reactive protein is a strong predictor of cardiovascular events both in the general population and in patients with coronary artery disease.,The CRP is a strong predictor of cardiovascular events both in the general population and in patients with coronary artery disease.,The collagen-related peptide is a strong predictor of cardiovascular events both in the general population and in patients with coronary artery disease.,"We have found that Syk is rapidly ubiquitinated upon activation of platelets by collagen, collagen-related peptide, and convulxin.","We have found that Syk is rapidly ubiquitinated upon activation of platelets by collagen, CRP, and convulxin.","We have found that Syk is rapidly ubiquitinated upon activation of platelets by collagen, C-reactive protein, and convulxin."
CRP,"Serum concentrations of zinc, copper, caeruloplasmin, selenium, glutathione peroxidase (GPx) and C-reactive protein were measured together with their lipid profiles pre- and post-treatment.","Serum concentrations of zinc, copper, caeruloplasmin, selenium, glutathione peroxidase (GPx) and CRP were measured together with their lipid profiles pre- and post-treatment.","Serum concentrations of zinc, copper, caeruloplasmin, selenium, glutathione peroxidase (GPx) and collagen-related peptide were measured together with their lipid profiles pre- and post-treatment.","Here we observed that incubation of platelets with convulxin, collagen, or collagen-related peptide resulted in GPVI signaling-dependent loss of surface GPVI and the appearance of an approximately 55-kDa soluble fragment of GPVI as revealed by immunoblotting.","Here we observed that incubation of platelets with convulxin, collagen, or CRP resulted in GPVI signaling-dependent loss of surface GPVI and the appearance of an approximately 55-kDa soluble fragment of GPVI as revealed by immunoblotting.","Here we observed that incubation of platelets with convulxin, collagen, or C-reactive protein resulted in GPVI signaling-dependent loss of surface GPVI and the appearance of an approximately 55-kDa soluble fragment of GPVI as revealed by immunoblotting."
CRP,Elevated C-reactive protein is a suggested risk marker for cardiovascular disease.,Elevated CRP is a suggested risk marker for cardiovascular disease.,Elevated collagen-related peptide is a suggested risk marker for cardiovascular disease.,"Recently, several different rat anti-murine GPVI monoclonal antibodies, termed JAQs 1, 2, and 3, were produced that had the unique property of'immunodepleting'GPVI from the murine platelet surface and rendering it unresponsive to collagen or GPVI-specific agonists like convulxin or collagen-related peptide.","Recently, several different rat anti-murine GPVI monoclonal antibodies, termed JAQs 1, 2, and 3, were produced that had the unique property of'immunodepleting'GPVI from the murine platelet surface and rendering it unresponsive to collagen or GPVI-specific agonists like convulxin or CRP.","Recently, several different rat anti-murine GPVI monoclonal antibodies, termed JAQs 1, 2, and 3, were produced that had the unique property of'immunodepleting'GPVI from the murine platelet surface and rendering it unresponsive to collagen or GPVI-specific agonists like convulxin or C-reactive protein."
CRP,"The authors evaluated, in comparison with traditional parameters, C-reactive protein in blood/serum (S- CRP ) and in cerebrospinal fluid (CSF; C- CRP ) for its power to identify and treat patients with infected shunts.","The authors evaluated, in comparison with traditional parameters, CRP in blood/serum (S- CRP ) and in cerebrospinal fluid (CSF; C- CRP ) for its power to identify and treat patients with infected shunts.","The authors evaluated, in comparison with traditional parameters, collagen-related peptide in blood/serum (S- CRP ) and in cerebrospinal fluid (CSF; C- CRP ) for its power to identify and treat patients with infected shunts.",Collagen and collagen-related peptide (1 to 10 microg/mL) acutely induced platelet 12-H(P)ETE synthesis.,Collagen and CRP (1 to 10 microg/mL) acutely induced platelet 12-H(P)ETE synthesis.,Collagen and C-reactive protein (1 to 10 microg/mL) acutely induced platelet 12-H(P)ETE synthesis.
CRP,"Serum levels of IL-6 and C-reactive protein were obtained at baseline, 24 hours and 48 hours after stenting.","Serum levels of IL-6 and CRP were obtained at baseline, 24 hours and 48 hours after stenting.","Serum levels of IL-6 and collagen-related peptide were obtained at baseline, 24 hours and 48 hours after stenting.","In line with this, aggregation is potentiated in response to the GpVI-specific collagen-related peptide after a slight delay.","In line with this, aggregation is potentiated in response to the GpVI-specific CRP after a slight delay.","In line with this, aggregation is potentiated in response to the GpVI-specific C-reactive protein after a slight delay."
CSA,"We observed a transitory weight loss in both muscles; the mean fiber cross-sectional area showed a reduction at day 30, followed by an increase at day 60.","We observed a transitory weight loss in both muscles; the mean fiber CSA showed a reduction at day 30, followed by an increase at day 60.","We observed a transitory weight loss in both muscles; the mean fiber colony-stimulating activity showed a reduction at day 30, followed by an increase at day 60.",Investigation of the production of colony-stimulating factors revealed increased colony-stimulating activity in the serum of normal and infected mice pre-treated with UTE.,Investigation of the production of colony-stimulating factors revealed increased CSA in the serum of normal and infected mice pre-treated with UTE.,Investigation of the production of colony-stimulating factors revealed increased cross-sectional area in the serum of normal and infected mice pre-treated with UTE.
CSA,"METHODS: In our improved version of modelflow (COmfc) we adapted this model to a real time measure of the aortic cross-sectional area of the descending aorta just above the diaphragm, measured by a new transoesophageal echo device (HemoSonic 100).","METHODS: In our improved version of modelflow (COmfc) we adapted this model to a real time measure of the aortic CSA of the descending aorta just above the diaphragm, measured by a new transoesophageal echo device (HemoSonic 100).","METHODS: In our improved version of modelflow (COmfc) we adapted this model to a real time measure of the aortic colony-stimulating activity of the descending aorta just above the diaphragm, measured by a new transoesophageal echo device (HemoSonic 100).","Mice exposed for a 2.5-hour time period of cold and restraint presented diminished clonal capacity for CFU-GM content per femur, which was decreased by as much as 50% compared with that in control mice, in spite of the significant increase in serum colony-stimulating activity.","Mice exposed for a 2.5-hour time period of cold and restraint presented diminished clonal capacity for CFU-GM content per femur, which was decreased by as much as 50% compared with that in control mice, in spite of the significant increase in serum CSA.","Mice exposed for a 2.5-hour time period of cold and restraint presented diminished clonal capacity for CFU-GM content per femur, which was decreased by as much as 50% compared with that in control mice, in spite of the significant increase in serum cross-sectional area."
CSA,"MAIN OUTCOME MEASURES: Quadriceps femoris muscle cross-sectional area, plasma glucose, and insulin concentrations were measured before and after RET.","MAIN OUTCOME MEASURES: Quadriceps femoris muscle CSA, plasma glucose, and insulin concentrations were measured before and after RET.","MAIN OUTCOME MEASURES: Quadriceps femoris muscle colony-stimulating activity, plasma glucose, and insulin concentrations were measured before and after RET.","In experiments in vitro, sera of mice treated with UPLE p.o. or i.p. induced GM-CFC colony formation in cultures of normal mouse bone marrow cells, i.e., produced colony-stimulating activity.","In experiments in vitro, sera of mice treated with UPLE p.o. or i.p. induced GM-CFC colony formation in cultures of normal mouse bone marrow cells, i.e., produced CSA.","In experiments in vitro, sera of mice treated with UPLE p.o. or i.p. induced GM-CFC colony formation in cultures of normal mouse bone marrow cells, i.e., produced cross-sectional area."
CSA,A regression equation is provided for predicting the cross-sectional area of the deep neck muscles from spinous process length in males.,A regression equation is provided for predicting the CSA of the deep neck muscles from spinous process length in males.,A regression equation is provided for predicting the colony-stimulating activity of the deep neck muscles from spinous process length in males.,Treatment with CP resulted in enhanced colony-stimulating activity in bone shaft and spleen and decreased activity in bladder and lung.,Treatment with CP resulted in enhanced CSA in bone shaft and spleen and decreased activity in bladder and lung.,Treatment with CP resulted in enhanced cross-sectional area in bone shaft and spleen and decreased activity in bladder and lung.
CSA,"The luminal pressure, cross-sectional area, latency and velocity of CSA decrease were compared when using 3 ms, 9, 12, 15 or 30 mA pulses at 10 Hz for 10 s, and 15 mA, 0.03, 0.3 or 3 ms pulses at 10 Hz for 10 s.","The luminal pressure, CSA, latency and velocity of CSA decrease were compared when using 3 ms, 9, 12, 15 or 30 mA pulses at 10 Hz for 10 s, and 15 mA, 0.03, 0.3 or 3 ms pulses at 10 Hz for 10 s.","The luminal pressure, colony-stimulating activity, latency and velocity of CSA decrease were compared when using 3 ms, 9, 12, 15 or 30 mA pulses at 10 Hz for 10 s, and 15 mA, 0.03, 0.3 or 3 ms pulses at 10 Hz for 10 s.",Melatonin has immuno-enhancing properties and exerts colony-stimulating activity via T-helper cell-derived opioids.,Melatonin has immuno-enhancing properties and exerts CSA via T-helper cell-derived opioids.,Melatonin has immuno-enhancing properties and exerts cross-sectional area via T-helper cell-derived opioids.
CSF,"In both cases, MR imaging confirmed that each EAFC was subdural, resembled cerebrospinal fluid, and had distorted the superior cerebellum anteroinferiorly.","In both cases, MR imaging confirmed that each EAFC was subdural, resembled CSF, and had distorted the superior cerebellum anteroinferiorly.","In both cases, MR imaging confirmed that each EAFC was subdural, resembled Colony-stimulating factor, and had distorted the superior cerebellum anteroinferiorly.","We sought to determine these costs, both overall and relative to those of traditional management, and the optimal role of prophylactic Colony-stimulating factor in patients at greatest risk for FN.","We sought to determine these costs, both overall and relative to those of traditional management, and the optimal role of prophylactic CSF in patients at greatest risk for FN.","We sought to determine these costs, both overall and relative to those of traditional management, and the optimal role of prophylactic cerebrospinal fluid in patients at greatest risk for FN."
CSF,The authors therefore reviewed their experience with subdural fluid collections in 40 consecutive patients with spontaneous spinal cerebrospinal fluid leaks and intracranial hypotension.,The authors therefore reviewed their experience with subdural fluid collections in 40 consecutive patients with spontaneous spinal CSF leaks and intracranial hypotension.,The authors therefore reviewed their experience with subdural fluid collections in 40 consecutive patients with spontaneous spinal Colony-stimulating factor leaks and intracranial hypotension.,"Granulocyte Colony-stimulating factor administered to patients increased: (1) CD133+/VEGFR-2+ cells consistent with EPC phenotype; (2) CD133+ cells coexpressing the chemokine receptor CXCR4, important for homing of EPCs to ischemic tissue; and (3) endothelial cell-forming clusters in culture.","Granulocyte CSF administered to patients increased: (1) CD133+/VEGFR-2+ cells consistent with EPC phenotype; (2) CD133+ cells coexpressing the chemokine receptor CXCR4, important for homing of EPCs to ischemic tissue; and (3) endothelial cell-forming clusters in culture.","Granulocyte cerebrospinal fluid administered to patients increased: (1) CD133+/VEGFR-2+ cells consistent with EPC phenotype; (2) CD133+ cells coexpressing the chemokine receptor CXCR4, important for homing of EPCs to ischemic tissue; and (3) endothelial cell-forming clusters in culture."
